Date	AG	AI	AR	BE	BL	BS	FR	GE	GL	GR	JU	LU	NE	NW	OW	SG	SH	SO	SZ	TG	TI	UR	VD	VS	ZG	ZH	CH	ds.complete
2020-02-25																					1						1	TRUE
2020-02-26								1																			2	TRUE
2020-02-27						0		1																		1	3	TRUE
2020-02-28	1			1	1	0		3																1		2	10	TRUE
2020-02-29					2	0		5																1			13	TRUE
2020-03-01				2	2	1	1	7	0															2			19	TRUE
2020-03-02	2			4	2	3	2	7								0					2			3		2	27	TRUE
2020-03-03	6				2	3		9			1								1		4			3	1	9	45	TRUE
2020-03-04	7			6	2	3	4	9			1	0				1			3		5			4			55	TRUE
2020-03-05	9		1		6	8	6	13			2													5	3	19	87	TRUE
2020-03-06	12			17	6	15		17			3					2		1	6				23	6		26	149	TRUE
2020-03-07					15	21		26			4												30			30	185	TRUE
2020-03-08					19	24	8	35			4												40	7		37	221	TRUE
2020-03-09	14		2	34	20	28	11	44			5												51	12		40	278	TRUE
2020-03-10	17				22	33		68			6												77	17		49	353	TRUE
2020-03-11	18				26	49	16	79			6			4									108	22		59	440	TRUE
2020-03-12	27		5		26	73	22	108			9					15					180	2	156	30		92	793	TRUE
2020-03-13	32				42	92	29	173			10				1				9		258		204	53	13	140	1117	TRUE
2020-03-14		2			47	100	36	282			15								12		265		350	76	13		1432	TRUE
2020-03-15					54		40	372			16								13		291		406	98			1639	TRUE
2020-03-16	52	4		123	76	144	45	472			17									17	330		508	116	24	270	2239	TRUE
2020-03-17	67	5			89	165	59	619	10		24					47				23	422		608	173		294	2778	TRUE
2020-03-18	101		11	193	116	182	86	751		116	26	65				61		43		32	511	5	796	225		424	3801	TRUE
2020-03-19	118	6		282	134	222	111	961	17	145	31			25		85				36	638	7	1212	311		526	5024	TRUE
2020-03-20	168			377	184	272	145	1136		213	37	92	159	28		98	14	66		49	834	7	1432	346	48	773	6526	TRUE
2020-03-21				418	282	299	167	1262		239	49	109	177	33						56	918	12	1676	433			7345	TRUE
2020-03-22	232				289	358	202	1417	31	266	51	131	188	36						75	939		1782	490			7947	TRUE
2020-03-23	241		30	470	302	376	226	1509			57	156	204	39	25	228	30	95		81	1165	22	1822	527	62	1068	9051	TRUE
2020-03-24	266	8	33	532	306	414	255	1598	33	276	66	205	230	42	25		32	104		87	1211	25	2162	606	72	1211	10040	TRUE
2020-03-25	319	9	34	624	341	466	293	1708	40	322	78	228	256	44	27	228	34	129	99	96	1354		2215	651	80	1363	11063	TRUE
2020-03-26	349	11	42	660	422	505	309	1902	43	373	99	253	271	48	30	306	35	141	99	110	1401	38	2532	715	87	1476	12257	TRUE
2020-03-27	364	12	44	718	466	534	369	2051	44	409	112	287	287	54	37		36	157	119	117	1688	40	2745	808	101	1578	13483	TRUE
2020-03-28		13	45	767	502	573	421	2277	47		118	317	311	55		339	37	173	122	134	1727	48	2936	902		1720	14495	TRUE
2020-03-29			48	798	511	609	442	2349			118	339	313	59		365	40	190	128	138	1837	50	3168	964		1758	15195	TRUE
2020-03-30	481	14	50	826	539	621	477	2450	50	497	122	351	338	63	46	389	41		135	148	1962	53	3272	1000	112	1874	16101	TRUE
2020-03-31	499	14	58	856	561	657	491	2657	53	513	127	375	366	70	46	414	42	196	141	154	2091	57	3465	1085	114	1960	17062	TRUE
